[2021-12-23T22:34:31.962901+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/show/2","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":null}
[2021-12-23T22:34:32.067835+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/images/logo_files/favic.ico","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/2"}
[2021-12-23T22:34:34.812278+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/home/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/2"}
[2021-12-23T22:34:35.482744+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/home/index"}
[2021-12-23T22:34:37.396083+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/show/1","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:34:37.450914+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/images/logo_files/favic.ico","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:46:03.207364+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/show/1","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:46:03.254087+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/images/logo_files/favic.ico","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:46:04.876022+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/home/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:46:05.616833+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/home/index"}
[2021-12-23T22:46:07.016116+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/cart/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:46:07.595452+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/user/login","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/cart/show"}
[2021-12-23T22:46:10.467055+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/user/login","ip":"127.0.0.1","http_method":"POST","server":"mysite","referrer":"http://mysite/user/login"}
[2021-12-23T22:46:10.614435+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/user/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/user/login"}
[2021-12-23T22:46:10.695253+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/favicon.ico","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/user/index"}
[2021-12-23T22:46:14.084743+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/user/logout","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/user/index"}
[2021-12-23T22:46:14.101437+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/user/login","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/user/index"}
[2021-12-23T22:46:15.018394+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/user/login"}
[2021-12-23T22:46:16.092724+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/show/1","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:46:16.248862+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/images/logo_files/favic.ico","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:46:19.466520+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/home/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:50:41.189191+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/home/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:50:42.310764+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/home/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/home/index"}
[2021-12-23T22:50:42.850786+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/home/index"}
[2021-12-23T22:50:43.570616+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/cart/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:50:44.447722+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/cart/show"}
[2021-12-23T22:50:45.051842+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/user/login","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:50:46.855057+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/user/login"}
[2021-12-23T22:50:48.227139+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/show/1","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
[2021-12-23T22:50:48.377657+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/product/images/logo_files/favic.ico","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:50:50.829507+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/goods/show","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/product/show/1"}
[2021-12-23T22:50:51.737618+02:00] my_Logger.DEBUG: logger is ready [] {"memory_usage":"2 MB","url":"/home/index","ip":"127.0.0.1","http_method":"GET","server":"mysite","referrer":"http://mysite/goods/show"}
